Year,StateID,Age,Education,Sex,Income,Race/Ethnicity,Obese,Overweight
2011,AK,18 - 24,Unknown,Unknown,Unknown,Unknown,19.8,32.0
2011,AK,25 - 34,Unknown,Unknown,Unknown,Unknown,23.5,38.7
2011,AK,35 - 44,Unknown,Unknown,Unknown,Unknown,29.5,38.9
2011,AK,45 - 54,Unknown,Unknown,Unknown,Unknown,29.2,43.3
2011,AK,55 - 64,Unknown,Unknown,Unknown,Unknown,33.4,38.9
2011,AK,65 or older,Unknown,Unknown,Unknown,Unknown,29.3,40.9
2011,AK,Unknown,College graduate,Unknown,Unknown,Unknown,22.1,39.9
2011,AK,Unknown,High school graduate,Unknown,Unknown,Unknown,33.1,38.0
2011,AK,Unknown,Less than high school,Unknown,Unknown,Unknown,28.8,35.3
2011,AK,Unknown,Some college or technical school,Unknown,Unknown,Unknown,25.8,40.1
2011,AK,Unknown,Unknown,Female,Unknown,Unknown,26.7,31.3
2011,AK,Unknown,Unknown,Male,Unknown,Unknown,28.0,45.3
2011,AK,Unknown,Unknown,Unknown,"$15,000 - $24,999",Unknown,30.2,33.5
2011,AK,Unknown,Unknown,Unknown,"$25,000 - $34,999",Unknown,32.2,38.1
2011,AK,Unknown,Unknown,Unknown,"$35,000 - $49,999",Unknown,24.5,42.3
2011,AK,Unknown,Unknown,Unknown,"$50,000 - $74,999",Unknown,27.8,41.6
2011,AK,Unknown,Unknown,Unknown,"$75,000 or greater",Unknown,26.9,39.9
2011,AK,Unknown,Unknown,Unknown,Data not reported,Unknown,22.7,43.7
2011,AK,Unknown,Unknown,Unknown,"Less than $15,000",Unknown,33.6,24.6
2011,AK,Unknown,Unknown,Unknown,Unknown,2 or more races,23.3,41.9
2011,AK,Unknown,Unknown,Unknown,Unknown,American Indian/Alaska Native,30.9,37.2
2011,AK,Unknown,Unknown,Unknown,Unknown,Hispanic,31.5,37.4
2011,AK,Unknown,Unknown,Unknown,Unknown,Non-Hispanic White,25.9,38.5
2011,AK,Unknown,Unknown,Unknown,Unknown,Other,35.5,29.8
2011,AK,Unknown,Unknown,Unknown,Unknown,Unknown,27.4,38.9
2011,AL,18 - 24,Unknown,Unknown,Unknown,Unknown,16.3,27.1
2011,AL,25 - 34,Unknown,Unknown,Unknown,Unknown,35.2,31.9
2011,AL,35 - 44,Unknown,Unknown,Unknown,Unknown,35.5,33.3
2011,AL,45 - 54,Unknown,Unknown,Unknown,Unknown,38.0,35.8
2011,AL,55 - 64,Unknown,Unknown,Unknown,Unknown,36.4,38.9
2011,AL,65 or older,Unknown,Unknown,Unknown,Unknown,27.1,39.0
2011,AL,Unknown,College graduate,Unknown,Unknown,Unknown,26.4,36.8
2011,AL,Unknown,High school graduate,Unknown,Unknown,Unknown,32.8,34.1
2011,AL,Unknown,Less than high school,Unknown,Unknown,Unknown,33.6,33.2
2011,AL,Unknown,Some college or technical school,Unknown,Unknown,Unknown,33.8,35.0
2011,AL,Unknown,Unknown,Female,Unknown,Unknown,31.8,30.5
2011,AL,Unknown,Unknown,Male,Unknown,Unknown,32.3,39.0
2011,AL,Unknown,Unknown,Unknown,"$15,000 - $24,999",Unknown,34.8,31.9
2011,AL,Unknown,Unknown,Unknown,"$25,000 - $34,999",Unknown,35.8,35.7
2011,AL,Unknown,Unknown,Unknown,"$35,000 - $49,999",Unknown,32.3,36.6
2011,AL,Unknown,Unknown,Unknown,"$50,000 - $74,999",Unknown,34.1,36.1
2011,AL,Unknown,Unknown,Unknown,"$75,000 or greater",Unknown,28.8,38.5
2011,AL,Unknown,Unknown,Unknown,Data not reported,Unknown,23.8,36.0
2011,AL,Unknown,Unknown,Unknown,"Less than $15,000",Unknown,38.5,28.4
2011,AL,Unknown,Unknown,Unknown,Unknown,2 or more races,27.8,30.4
2011,AL,Unknown,Unknown,Unknown,Unknown,American Indian/Alaska Native,32.9,31.4
2011,AL,Unknown,Unknown,Unknown,Unknown,Hispanic,28.6,34.5
2011,AL,Unknown,Unknown,Unknown,Unknown,Non-Hispanic Black,40.1,30.1
2011,AL,Unknown,Unknown,Unknown,Unknown,Non-Hispanic White,29.8,36.4
2011,AL,Unknown,Unknown,Unknown,Unknown,Unknown,32.0,34.7
2011,AR,18 - 24,Unknown,Unknown,Unknown,Unknown,23.0,27.3
2011,AR,25 - 34,Unknown,Unknown,Unknown,Unknown,29.3,28.2
2011,AR,35 - 44,Unknown,Unknown,Unknown,Unknown,32.9,34.4
2011,AR,45 - 54,Unknown,Unknown,Unknown,Unknown,36.4,35.0
2011,AR,55 - 64,Unknown,Unknown,Unknown,Unknown,36.9,38.3
2011,AR,65 or older,Unknown,Unknown,Unknown,Unknown,26.1,39.4
